mid,patch,radiant_win
48434,25,True
37074,18,False
5018,8,False
38479,18,True
69147,41,False
33300,16,True
10818,11,False
65872,40,False
63568,40,False
55758,33,True
17782,12,False
81432,43,False
55717,33,False
56444,35,False
74406,41,False
59009,38,True
27585,14,False
10184,11,True
61600,39,False
51926,26,True
53223,26,True
40403,18,True
12603,11,False
77802,43,True
70128,41,False
43744,21,True
80745,43,True
5363,8,False
950,6,False
47697,25,False
70717,41,False
44372,22,True
46054,24,False
35662,17,False
11707,11,True
68181,41,True
18925,13,True
31309,16,True
69577,41,True
59671,38,True
18696,13,False
32537,16,True
19642,13,True
10411,11,False
65543,40,False
52718,26,False
35857,17,False
55567,32,True
35739,17,True
13336,11,False
61606,39,False
51651,26,False
72869,41,True
62737,40,True
80412,43,False
3762,8,False
34108,17,False
48897,25,False
46516,24,False
38570,18,True
62126,39,False
3304,8,True
26415,14,False
59703,38,True
71499,41,False
24060,14,True
12338,11,True
50484,25,False
55582,33,False
18521,12,True
49071,25,False
11809,11,False
68545,41,True
18221,12,True
6188,9,False
43452,21,True
55009,31,True
18883,13,True
8664,10,False
64944,40,False
58481,38,False
3406,8,True
30180,15,False
44849,23,True
77675,43,True
28222,15,False
70198,41,True
11749,11,True
47087,25,True
47923,25,False
69198,41,True
39103,18,False
27572,14,True
23575,13,True
54230,29,False
29340,15,False
31892,16,False
9905,11,False
8937,11,False
72975,41,False
6851,10,False
71891,41,True
55846,34,False
65352,40,False
25849,14,True
80575,43,False
75744,41,False
9993,11,False
63692,40,True
70132,41,True
37052,18,False
21787,13,True
78609,43,True
42695,20,True
25279,14,False
25308,14,False
49950,25,True
3449,8,False
49064,25,True
22272,13,False
24409,14,False
3622,8,True
22849,13,False
5209,8,False
16864,12,False
23862,13,True
30914,16,True
46594,24,True
64057,40,True
78777,43,True
21641,13,False
76792,43,True
33273,16,True
78726,43,True
52764,26,False
63866,40,True
7477,10,False
67642,40,True
940,6,False
44929,23,True
56393,35,False
22031,13,True
66335,40,True
39298,18,False
20543,13,True
28407,15,False
30092,15,True
47921,25,True
79977,43,True
4251,8,True
21289,13,True
13757,11,False
3441,8,False
1764,7,False
4642,8,False
66054,40,True
18274,12,False
26737,14,True
43432,21,False
15313,12,False
22448,13,False
15557,12,False
59971,39,True
6969,10,True
53369,26,False
50389,25,True
14261,11,False
3413,8,True
75529,41,False
45385,24,False
72024,41,True
27617,14,False
24911,14,True
50869,25,False
35043,17,True
57393,38,False
38950,18,False
48431,25,True
23461,13,False
48427,25,False
7128,10,False
63839,40,True
76061,41,False
3680,8,True
26249,14,False
43415,21,True
70116,41,True
8093,10,True
30143,15,False
62750,40,False
20256,13,False
8976,11,True
47255,25,False
60609,39,False
32159,16,True
60058,39,True
55321,32,False
48399,25,False
18493,12,False
36045,18,True
13051,11,True
67291,40,True
28665,15,True
39281,18,False
27029,14,False
38091,18,False
54875,30,False
39527,18,True
54383,29,True
43784,21,True
13330,11,True
31582,16,True
35444,17,True
53091,26,True
47668,25,False
79530,43,False
50733,25,False
46837,25,True
32695,16,True
30909,16,True
44957,23,True
4348,8,True
37882,18,True
57141,38,False
73554,41,False
74942,41,True
61627,39,True
69444,41,False
58701,38,True
46642,25,False
21072,13,True
49893,25,False
35558,17,False
18877,13,True
3251,8,False
26940,14,False
79333,43,True
67827,40,False
74555,41,False
48325,25,False
5444,8,True
25481,14,False
10496,11,True
14314,11,True
11163,11,False
52483,26,True
11258,11,False
41151,18,True
29190,15,True
43345,20,False
62358,39,False
33559,16,False
13114,11,True
28451,15,False
77300,43,True
59680,38,False
65119,40,False
36408,18,True
64692,40,False
13610,11,False
1616,7,True
27197,14,False
26982,14,False
32335,16,False
74652,41,False
73054,41,False
47999,25,True
57200,38,True
22971,13,True
26596,14,False
20090,13,True
65662,40,True
67092,40,True
47162,25,False
73203,41,False
5705,8,True
24096,14,False
57803,38,True
21177,13,True
14469,11,False
76932,43,True
51132,26,False
42828,20,True
74845,41,False
6983,10,False
55235,32,False
72131,41,False
62084,39,True
53602,27,False
2317,7,True
67616,40,True
4530,8,True
25731,14,False
24254,14,True
77887,43,True
58283,38,False
35036,17,True
54309,29,False
15977,12,True
42578,20,False
46012,24,True
22460,13,True
29771,15,False
23333,13,True
51593,26,False
53831,27,True
6273,9,True
39727,18,True
533,4,True
19476,13,False
33945,16,True
6066,9,True
8560,10,False
65356,40,False
56718,37,True
17667,12,True
35356,17,True
